age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
29,111,449,TRUE,Male,,,
29,128,528,TRUE,Male,,,
30,584,598,TRUE,Female,,,
29,494,596,TRUE,Female,,,
29,432,552,TRUE,Male,,,
30,581,607,TRUE,Female,,,
30,441,594,TRUE,Female,,,
30,510,587,TRUE,Female,,,
30,72,594,TRUE,Male,,,
29,558,592,TRUE,Female,,,
28,443,562,TRUE,Female,,,
27,547,597,TRUE,Female,,,
23,145,421,TRUE,Male,,,
24,276,498,TRUE,Male,,,
19,116,340,TRUE,Female,,,
30,470,527,TRUE,Male,,,
27,500,536,TRUE,Female,,,
23,63,142,TRUE,Female,,,
21,14,351,TRUE,Female,,,
20,22,109,TRUE,Male,,,
29,602,608,TRUE,Male,,,
17,51,506,TRUE,Male,,,
20,22,232,TRUE,Male,,,
22,343,549,TRUE,Male,,,
28,471,592,TRUE,Male,,,
20,114,382,TRUE,Female,,,
20,66,309,TRUE,Male,,,
22,390,529,TRUE,Male,,,
29,498,593,TRUE,Male,,,
28,491,577,TRUE,Male,,,
18,109,564,TRUE,Female,,,
20,218,392,TRUE,Female,,,
25,470,558,TRUE,Male,,,
23,104,499,TRUE,Female,,,
20,233,453,TRUE,Male,,,
23,504,603,TRUE,Female,,,
20,88,347,TRUE,Male,,,
20,7,212,TRUE,Male,,,
22,42,590,TRUE,Male,,,
30,554,585,TRUE,Male,,,
24,581,597,TRUE,Female,,,
26,292,504,TRUE,Male,,,
25,576,589,TRUE,Female,,,
26,419,525,TRUE,Female,,,
20,568,592,TRUE,Male,,,
21,59,372,TRUE,Female,,,
20,54,485,TRUE,Female,,,
19,34,272,TRUE,Female,,,
24,579,596,TRUE,Female,,,
24,362,544,TRUE,Female,,,
21,64,402,TRUE,Female,,,
18,65,390,TRUE,Male,,,
24,457,581,TRUE,Male,,,
20,49,271,TRUE,Male,,,
21,526,583,TRUE,Male,,,
20,94,521,TRUE,Male,,,
19,88,435,TRUE,Female,,,
21,366,542,TRUE,Female,,,
24,482,584,TRUE,Female,,,
21,226,479,TRUE,Female,,,
21,160,581,TRUE,Male,,,
31,557,605,TRUE,Female,,,
19,69,300,TRUE,Male,,,
29,427,551,TRUE,Male,,,
23,206,482,TRUE,Female,,,
22,191,484,TRUE,Female,,,
21,84,560,TRUE,Male,,,
17,84,389,TRUE,Female,,,
18,117,508,TRUE,Male,,,
20,264,501,TRUE,Female,,,
20,98,381,TRUE,Female,,,
17,5,144,TRUE,Male,,,
22,167,373,TRUE,Male,,,
27,302,531,TRUE,Male,,,
28,591,605,TRUE,Female,,,
27,535,602,TRUE,Male,,,
27,398,538,TRUE,Male,,,
22,536,598,TRUE,Female,,,
26,591,599,TRUE,Female,,,
21,421,590,TRUE,Female,,,
19,26,429,TRUE,Male,,,
30,266,460,TRUE,Male,,,
19,408,488,TRUE,Female,,,
18,41,512,TRUE,Male,,,
29,411,518,TRUE,Female,,,
25,400,554,TRUE,Female,,,
29,511,548,TRUE,Male,,,
18,234,303,TRUE,Female,,,
20,67,269,TRUE,Male,,,
18,137,405,TRUE,Female,,,
20,398,496,TRUE,Male,,,
17,214,471,TRUE,Female,,,
21,135,538,TRUE,Female,,,
19,374,480,TRUE,Female,,,
17,78,413,TRUE,Female,,,
25,147,550,TRUE,Female,,,
25,145,550,TRUE,Female,,,
17,55,519,TRUE,Female,,,
21,345,431,TRUE,Female,,,
20,155,420,TRUE,Male,,,
23,438,579,TRUE,Male,,,
18,218,411,TRUE,Male,,,
27,513,592,TRUE,Female,,,
17,20,514,TRUE,Female,,,
29,35,289,TRUE,Male,,,
22,246,436,TRUE,Male,,,
19,145,366,TRUE,Female,,,
26,539,594,TRUE,Female,,,
17,114,337,TRUE,Female,,,
22,417,536,TRUE,Female,,,
18,11,272,TRUE,Female,,,
29,567,599,TRUE,Female,,,
26,558,581,TRUE,Female,,,
18,128,477,TRUE,Female,,,
20,73,415,TRUE,Female,,,
28,510,582,TRUE,Female,,,
22,123,570,TRUE,Male,,,
21,41,303,TRUE,Female,,,
19,126,300,TRUE,Male,,,
27,557,587,TRUE,Male,,,
28,364,521,TRUE,Male,,,
18,111,381,TRUE,Male,,,
26,539,587,TRUE,Female,,,
30,494,556,TRUE,Male,,,
28,136,419,TRUE,Female,,,
17,59,368,TRUE,Male,,,
25,435,558,TRUE,Male,,,
29,306,535,TRUE,Female,,,
22,60,338,TRUE,Female,,,
28,577,599,TRUE,Female,,,
17,62,283,TRUE,Female,,,
27,238,430,TRUE,Male,,,
30,598,604,TRUE,Male,,,
23,322,531,TRUE,Male,,,
26,433,542,TRUE,Female,,,
24,66,161,TRUE,Male,,,
26,601,608,TRUE,Male,,,
21,275,499,TRUE,Female,,,
32,605,606,TRUE,Male,,,
19,215,459,TRUE,Female,,,
17,303,553,TRUE,Female,,,
30,544,583,TRUE,Male,,,
25,382,510,TRUE,Male,,,
21,176,456,TRUE,Female,,,
21,427,486,TRUE,Female,,,
23,172,467,TRUE,Female,,,
31,562,590,TRUE,Female,,,
20,68,355,TRUE,Female,,,
21,93,522,TRUE,Male,,,
23,203,429,TRUE,Male,,,
28,546,598,TRUE,Male,,,
