age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
11,0,54,FALSE,Female,Second,Some College,
11,0,48,FALSE,Female,First,Some College,
11,0,104,FALSE,Female,Second,Secondary,
11,10,354,FALSE,Female,Second,College,
11,0,22,FALSE,Female,First,College,
11,4,69,FALSE,Male,First,Graduate,
11,1,30,FALSE,Female,Second,Secondary,
11,4,94,FALSE,Female,First,Secondary,
11,1,94,FALSE,Female,Second,College,
11,0,14,FALSE,Female,First,Some College,
11,3,24,FALSE,Female,First,Graduate,
11,2,34,FALSE,Male,First,Secondary,
11,3,35,FALSE,Female,First,College,
11,15,65,FALSE,Male,First,College,
11,0,66,FALSE,Male,First,Graduate,
11,3,155,FALSE,Male,First,College,
11,10,110,FALSE,Male,First,College,
11,0,50,FALSE,Female,First,College,
11,12,146,FALSE,Male,First,College,
11,0,3,FALSE,Male,First,Secondary,
11,0,64,FALSE,Male,First,Some College,
11,0,52,FALSE,Female,First,Graduate,
12,55,100,FALSE,Male,Second,College,
12,55,89,FALSE,Male,Second,College,
12,2,181,FALSE,Male,Second,Graduate,
12,0,30,FALSE,Female,First,Some College,
12,4,52,FALSE,Male,First,College,
12,12,99,FALSE,Female,First,Graduate,
12,0,257,FALSE,Male,First,Some College,
13,0,340,FALSE,Male,First,College,
13,14,24,FALSE,Female,Second,Some College,
13,1,15,FALSE,Male,First,Graduate,
13,7,37,FALSE,Male,First,College,
13,6,130,FALSE,Male,First,Some College,
13,2,95,FALSE,Female,First,College,
13,3,147,FALSE,Female,First,Graduate,
13,0,145,FALSE,Male,Second,Graduate,
13,9,92,FALSE,Female,First,College,
13,0,44,FALSE,Male,First,College,
14,2,14,FALSE,Female,Second,Some College,
14,70,103,FALSE,Male,First,College,
14,24,34,FALSE,Male,Second,College,
14,7,116,FALSE,Male,First,Some College,
14,5,26,FALSE,Male,First,College,
14,34,95,FALSE,Male,First,College,
14,15,85,FALSE,Female,First,College,
14,4,148,FALSE,Male,First,College,
12,1,51,FALSE,Female,First,Secondary,
12,2,147,FALSE,Male,First,Secondary,
12,1,21,FALSE,Female,First,Secondary,
12,3,141,FALSE,Female,First,Secondary,
12,9,45,FALSE,Male,Third,College,
12,0,109,FALSE,Male,First,Some College,
12,0,52,FALSE,Female,Second,Primary,
12,0,12,FALSE,Female,First,Primary,
12,1,66,FALSE,Male,Second,Some College,
12,1,157,FALSE,Male,Second,Primary,
12,2,128,FALSE,Male,Second,Some College,
12,0,3,FALSE,Female,Third,Secondary,
12,2,123,FALSE,Female,Second,Some College,
12,5,44,FALSE,Male,First,,
12,3,32,FALSE,Female,First,Primary,
12,6,58,FALSE,Female,First,College,
12,0,33,FALSE,Female,First,Some College,
12,2,71,FALSE,Female,First,Secondary,
12,4,104,FALSE,Female,First,College,
12,2,9,FALSE,Male,Second,Secondary,
12,2,128,FALSE,Male,First,Some College,
12,9,108,FALSE,Female,First,Primary,
12,3,63,FALSE,Female,Third,Secondary,
12,0,90,FALSE,Male,First,Secondary,
12,0,63,FALSE,Male,First,Some College,
12,23,160,FALSE,Female,Second,College,
13,19,317,FALSE,Male,First,Primary,
13,0,111,FALSE,Male,First,Some College,
13,6,67,FALSE,Female,Second,Some College,
13,8,35,FALSE,Male,First,Secondary,
13,1,55,FALSE,Male,First,Secondary,
13,38,108,FALSE,Female,First,Secondary,
13,2,40,FALSE,Female,Second,Secondary,
8,0,277,FALSE,Female,First,Some College,
8,0,0,FALSE,Female,First,College,
8,8,121,FALSE,Female,First,College,
8,1,140,FALSE,Male,First,College,
8,0,331,FALSE,Male,First,College,
8,0,83,FALSE,Male,First,Secondary,
8,0,30,FALSE,Male,First,Secondary,
8,0,89,FALSE,Female,First,College,
8,0,142,FALSE,Male,First,College,
8,0,164,FALSE,Female,Second,College,
8,0,111,FALSE,Male,First,College,
8,7,204,FALSE,Female,Third,Some College,
8,0,86,FALSE,Male,First,Some College,
8,0,126,FALSE,Male,Second,Primary,
