age,production,comprehension,is_norming,sex,birth_order,caregiver_education,ethnicity
29,98,98,FALSE,Male,First,Some Secondary,
29,482,482,FALSE,Female,Second,Some Secondary,
29,523,523,FALSE,Female,First,Some Secondary,
29,401,401,FALSE,Male,First,Some Secondary,
29,586,586,FALSE,Male,First,Some Secondary,
29,528,528,FALSE,Female,First,Some Secondary,
29,531,531,FALSE,Male,First,Some Secondary,
29,353,353,FALSE,Female,First,Some Secondary,
29,487,487,FALSE,Male,First,Some Secondary,
29,429,429,FALSE,Male,First,Some Secondary,
29,514,514,FALSE,Female,Second,Some Secondary,
29,263,263,FALSE,Male,First,Some Secondary,
29,504,504,FALSE,Male,First,Some Secondary,
29,453,453,FALSE,Female,First,Some Secondary,
29,470,470,FALSE,Female,First,Some Secondary,
29,394,394,FALSE,Male,First,Some Secondary,
29,414,414,FALSE,Female,First,Some Secondary,
29,491,491,FALSE,Male,Second,Some Secondary,
29,465,465,FALSE,Male,First,Some Secondary,
29,426,426,FALSE,Female,First,Some Secondary,
29,445,445,FALSE,Female,First,Some Secondary,
29,461,461,FALSE,Female,First,Some Secondary,
29,440,440,FALSE,Male,First,Some Secondary,
29,560,560,FALSE,Female,First,Some Secondary,
29,479,479,FALSE,Female,First,Some Secondary,
29,581,581,FALSE,Female,First,Some Secondary,
29,464,464,FALSE,Male,First,Some Secondary,
29,121,121,FALSE,Female,First,Some Secondary,
29,414,414,FALSE,Male,First,Some Secondary,
29,153,153,FALSE,Male,Second,Some Secondary,
29,437,437,FALSE,Female,First,Some Secondary,
29,412,412,FALSE,Male,First,Some Secondary,
29,340,340,FALSE,Male,First,Some Secondary,
29,115,115,FALSE,Female,First,Some Secondary,
30,374,374,FALSE,Male,First,Some Secondary,
30,451,451,FALSE,Female,First,Some Secondary,
30,276,276,FALSE,Male,Fourth,Some Secondary,
30,139,139,FALSE,Female,First,Some Secondary,
30,663,663,FALSE,Male,Second,Some Secondary,
30,636,636,FALSE,Female,First,Some Secondary,
30,604,604,FALSE,Female,First,Some Secondary,
30,326,326,FALSE,Male,First,Some Secondary,
30,172,172,FALSE,Female,First,Some Secondary,
30,129,129,FALSE,Female,Second,Some Secondary,
30,246,246,FALSE,Female,First,Some Secondary,
30,564,564,FALSE,Male,First,Some Secondary,
30,472,472,FALSE,Female,First,Some Secondary,
30,595,595,FALSE,Male,First,Some Secondary,
30,558,558,FALSE,Female,First,Some Secondary,
30,353,353,FALSE,Female,First,Some Secondary,
30,191,191,FALSE,Female,First,Some Secondary,
30,449,449,FALSE,Female,First,Some Secondary,
30,440,440,FALSE,Male,Second,Some Secondary,
30,514,514,FALSE,Male,First,Some Secondary,
30,344,344,FALSE,Male,First,Some Secondary,
30,201,201,FALSE,Male,First,Some Secondary,
30,351,351,FALSE,Female,First,Some Secondary,
30,459,459,FALSE,Male,First,Some Secondary,
30,327,327,FALSE,Female,First,Some Secondary,
30,290,290,FALSE,Female,First,Some Secondary,
30,575,575,FALSE,Male,First,Some Secondary,
30,490,490,FALSE,Female,First,Some Secondary,
30,269,269,FALSE,Female,First,Some Secondary,
25,204,204,FALSE,Female,First,Some Secondary,
25,131,131,FALSE,Female,First,Some Secondary,
25,265,265,FALSE,Male,First,Some Secondary,
25,436,436,FALSE,Female,First,Some Secondary,
25,397,397,FALSE,Female,First,Some Secondary,
25,463,463,FALSE,Male,First,Some Secondary,
25,473,473,FALSE,Male,First,Some Secondary,
25,449,449,FALSE,Female,Second,Some Secondary,
25,316,316,FALSE,Female,First,Some Secondary,
25,62,62,FALSE,Male,First,Some Secondary,
25,210,210,FALSE,Male,First,Some Secondary,
25,305,305,FALSE,Female,First,Some Secondary,
25,83,83,FALSE,Female,First,Some Secondary,
25,320,320,FALSE,Female,Second,Some Secondary,
25,68,68,FALSE,Female,First,Some Secondary,
25,126,126,FALSE,Male,First,Some Secondary,
25,528,528,FALSE,Female,First,Some Secondary,
25,517,517,FALSE,Male,First,Some Secondary,
25,306,306,FALSE,Female,First,Some Secondary,
25,97,97,FALSE,Male,First,Some Secondary,
25,375,375,FALSE,Female,First,Some Secondary,
25,249,249,FALSE,Female,First,Some Secondary,
25,288,288,FALSE,Male,First,Some Secondary,
25,207,207,FALSE,Male,First,Some Secondary,
25,385,385,FALSE,Female,First,Some Secondary,
25,333,333,FALSE,Female,Second,Some Secondary,
25,190,190,FALSE,Male,First,Some Secondary,
25,301,301,FALSE,Male,First,Some Secondary,
25,232,232,FALSE,Female,First,Some Secondary,
25,464,464,FALSE,Female,First,Some Secondary,
25,252,252,FALSE,Male,First,Some Secondary,
25,95,95,FALSE,Male,First,Some Secondary,
25,141,141,FALSE,Male,First,Some Secondary,
25,173,173,FALSE,Female,First,Some Secondary,
25,348,348,FALSE,Male,First,Some Secondary,
25,480,480,FALSE,Male,First,Some Secondary,
25,300,300,FALSE,Male,First,Some Secondary,
25,296,296,FALSE,Male,First,Some Secondary,
25,415,415,FALSE,Male,Second,Some Secondary,
24,357,357,FALSE,Male,First,Some Secondary,
24,25,25,FALSE,Male,Third,Some Secondary,
24,78,78,FALSE,Female,First,Some Secondary,
24,348,348,FALSE,Female,First,Some Secondary,
24,212,212,FALSE,Male,Second,Some Secondary,
24,242,242,FALSE,Male,First,Some Secondary,
24,313,313,FALSE,Female,First,Some Secondary,
24,415,415,FALSE,Female,First,Some Secondary,
24,146,146,FALSE,Female,First,Some Secondary,
24,388,388,FALSE,Male,First,Some Secondary,
24,194,194,FALSE,Female,First,Some Secondary,
24,113,113,FALSE,Female,Second,Some Secondary,
24,168,168,FALSE,Female,First,Some Secondary,
24,381,381,FALSE,Male,First,Some Secondary,
